site	keelres	finres	pectres
1700	-0.202924565	0.715074729	NA
1700	-0.978883103	-1.446176744	NA
1700	-0.596745936	-1.855828751	NA
1700	-0.19124036	0.695630215	NA
1700	-0.220991555	-0.515396706	NA
1700	-0.901313723	-0.593651467	NA
1700	-0.937712442	-1.190593034	NA
1700	-0.897887883	-0.19028443	NA
1700	-0.463100006	-0.184616668	NA
1700	0.202112117	-0.29028443	NA
1700	0.22682663	-1.97389835	NA
1700	-0.215954873	0.279244135	0.621863475
1700	-0.298560935	-0.167921984	-0.254605713
1700	-0.49124036	-0.204369785	0.033396278
1700	-0.092851201	-1.295643589	2.259738235
1700	0.024542737	0.357190292	0.543269048
1700	-0.303597616	-0.762562825	1.065129876
1700	-0.546848015	1.333761535	1.591197472
1700	-0.052353591	-1.517697432	1.721143808
1700	-0.24731691	-1.323056591	2.026408219
1700	-0.558063325	-0.189975826	1.49179986
1000	0.368935082	-0.304678388	-0.463929758
1000	-0.032206865	0.160865933	-0.142798548
1000	0.094791542	0.646163371	-0.308528166
1000	-0.291709255	-0.66118791	0.943607025
1000	-0.695135095	-0.064554947	0.397000656
1000	0.072829817	0.455506774	0.817465863
1000	0.217222162	-0.406361907	1.310267058
1000	-0.191709255	-0.66118791	0.593607025
1000	-0.352353591	-1.617697432	0.681143808
1000	-0.356921378	-0.855520147	-0.16433135
1000	0.217222162	0.193638093	-0.689732942
1000	0.562756454	-0.933774908	0.931937041
1000	0.022258844	0.588278934	-0.519468531
1000	0.311043534	-1.435458427	0.641133857
1000	-0.209776245	-1.391659345	-0.099003324
1000	0.222258844	-0.911721066	-0.684468531
1000	-0.290098413	0.030085894	0.027265067
900	-0.6068193	0.854889567	-0.032186208
900	-0.220991555	-0.415396706	0.596599064
900	-0.274315316	-1.808354029	0.957137837
900	0.331863312	-0.379257509	-0.013728962
900	0.176724552	-0.684308064	-0.311138515
900	-0.083919785	-1.340817586	0.081398268
900	-0.483919785	-0.540817586	-0.168601732
900	0.264367295	0.557498896	-0.039404917
900	-0.482573682	-1.685542478	1.264557342
700	-0.163568901	-1.641434793	-0.813253804
700	-0.168136688	-0.479257509	-0.703728962
700	-0.277068105	0.165916488	0.114611006
700	-0.344564121	0.602672893	0.148935051
700	-0.539996335	-0.859504392	-0.505589791
700	-0.245706068	-0.131782786	-0.419933739
700	-0.699498725	0.518441766	0.135815782
700	-1.228107973	0.241870523	1.257887358
700	-0.347989961	-0.300694144	0.602328682
700	-0.712529033	-1.017388828	0.343469844
700	0.14146778	0.453206048	-0.352989393
700	-0.366525846	0.012016296	-0.30507092
700	-0.215954873	0.179244135	-0.078136525
700	-0.217565715	-0.412029669	-0.121794567
700	-0.097887883	-1.09028443	0.639473824
700	-0.298560935	0.532078016	0.085394287
700	-0.035632705	-0.842501104	-0.024404917
700	0.094791542	-0.953836629	-0.643528166
700	-0.451211645	-1.483241753	1.160012598
700	-0.612529033	-0.817388828	0.273469844
700	-0.175457263	-0.842809708	0.433269048
700	0.085860125	-0.908662632	0.099811802
700	-0.365179743	-0.632708597	1.543088154
700	0.085860125	-1.708662632	0.044811802
700	0.381292339	0.153514652	-0.320663357
600	-0.577741156	-0.111721066	0.160531469
600	-0.43952744	-1.002686266	0.624199462
600	-0.685530626	-1.33209139	0.182740226
600	0.214938269	0.024726735	-0.112470522
600	-0.234490758	1.391954575	-1.110536127
600	0.098686277	-1.193651467	-0.317132544
600	-0.403597616	-0.362562825	-0.479870124
600	-0.4653839	0.346471975	0.77379787
600	-0.685061731	0.224726735	0.377529478
600	0.017222162	-0.106361907	-0.669732942
600	0.079008445	0.484603294	-0.318400936
600	0.027295525	-0.417080224	0.31579588
600	-0.15416859	1.170209336	0.368195482
600	-0.087141468	-1.823365194	0.514082183
600	0.243078622	-0.955520147	0.17066865
600	-0.047989961	0.599305856	0.002328682
600	-0.22488629	-1.175581868	0.320203443
600	-0.477068105	-1.334083512	0.769611006
600	0.555435879	-0.797327107	-0.181064949
600	-0.204739563	-0.597018504	0.071261087
600	0.519506055	-0.937450549	0.013004637
600	-0.198560935	-0.067921984	-0.554605713
600	-0.275457263	-0.242809708	0.138269048
600	0.14583141	-0.329790664	-0.106804518
600	0.043078622	0.144479853	-0.12433135
600	-0.160347218	0.141112816	-0.155937719
600	-0.128107973	-1.158129477	-0.172112642
500	-0.717565715	-0.612029669	0.183205433
500	-0.160347218	-0.658887184	0.494062281
500	0.033474154	-0.887983704	-0.81507092
500	-0.244564121	0.202672893	0.003935051
500	-0.071562528	-0.182624545	-0.105335331
500	-0.029454076	-0.813404584	0.854728284
500	-0.008634298	0.742796334	-0.920134535
500	-0.153026643	-0.595334985	0.192064271
500	-0.181635891	-1.271906228	-0.395864153
500	-0.45416859	0.170209336	-0.241804518
500	-0.164241953	0.380927654	0.427666659
500	0.007617694	-0.038825464	-0.200472512
500	-0.035632705	-0.242501104	-0.924404917
400	-0.008634298	0.842796334	NA
400	0.131863312	-0.179257509	NA
400	0.883107337	1.365607884	NA
400	-0.765852795	0.889653849	NA
400	-0.528781025	-2.43576703	NA
400	-0.175457263	-0.342809708	NA
400	-0.110714035	-2.605295595	NA
400	0.240794729	-0.624431505	NA
400	0.354293932	-1.431782786	NA
400	0.609901587	-1.069914106	NA
400	-0.135632705	1.057498896	-0.209404917
400	-0.05074275	0.973576373	-0.26019815
400	-0.371562528	0.817375455	0.139664669
400	-0.129454076	0.086595416	-0.140271716
400	-0.041811333	-0.471597624	-0.458538117
400	-0.68438868	0.302364289	0.546609015
400	-0.134490758	-0.208045425	-0.415536127
400	-0.994462043	-0.086917393	-0.123919807
400	-0.040669386	-0.137141945	0.425330672
400	0.276255657	-0.141126189	0.199072232
400	0.095260437	-0.597018504	-0.893738913
400	-0.575457263	-1.242809708	0.488269048
400	0.348115304	0.439120694	-0.469066939
400	0.08632902	0.248155493	-0.205398946
400	-0.12831213	-0.378948905	0.608597074
400	-0.492851201	0.304356411	0.759738235
400	-0.538854388	-0.325048713	0.738278999
400	-0.577741156	-0.211721066	-0.129468531
400	-0.514812926	0.413699814	-0.594267735
400	0.094322647	1.189345246	0.086682581
400	0.062756454	-0.333774908	-0.193062959
400	0.324542737	-0.142809708	-0.326730952
400	-0.45510638	-1.243426915	0.083616976
400	-0.441811333	-0.171597624	0.001461883
400	-0.625355185	-0.532399993	0.54041419
400	-0.977068105	0.065916488	0.139611006
400	-0.137243546	-0.533774908	-0.408062959
400	-0.419176557	-0.303303473	-0.055452609
300	0.068935082	-0.204678388	0.306070242
300	0.062756454	-1.633774908	-0.048062959
300	0.129579419	-0.048168867	0.458533459
300	0.146504462	-0.752153111	0.847275019
300	0.643078622	0.044479853	-0.15433135
300	0.40097017	1.275259891	-0.674394965
300	-0.337243546	0.066225092	0.191937041
300	-0.091709255	-0.96118791	0.513607025
300	-0.15074275	0.173576373	-0.25519815
300	0.309901587	-0.169914106	0.642265067
300	-0.272704475	0.682919776	0.04079588
300	-0.185061731	-0.175273265	-1.132470522
300	-0.129454076	0.486595416	-0.645271716
300	0.190223755	-0.191659345	0.090996676
300	-0.08438868	-1.097635711	1.111609015
300	-0.234959653	-1.26486355	-0.03032538
300	-0.443422175	-0.262871428	0.172803841
300	0.306006852	0.969900732	0.655869446
300	-0.137243546	0.066225092	-0.253062959
300	0.135289152	-0.575890472	-0.827122593
